2022-06-23 10:55:44,383 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655970943.8816967, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41230)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 10:59:45,554 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 10:59:46,059 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655971185.555609, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41246)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:01:29,324 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:01:29,820 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655971289.3251297, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41258)>), {}. Вызов из модуля __main__. Вызов из функции '__main__':.Вызов из функции main
2022-06-23 11:01:56,556 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:01:57,052 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655971316.5564857, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41264)>), {}. Вызов из модуля __main__. Вызов из функции '__main__':.Вызов из функции main
2022-06-23 11:02:06,175 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:02:06,593 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655971326.1761768, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41268)>), {}. Вызов из модуля __main__. Вызов из функции '__main__':.Вызов из функции main
2022-06-23 11:02:10,304 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:02:10,801 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655971330.3043323, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41270)>), {}. Вызов из модуля __main__. Вызов из функции '__main__':.Вызов из функции main
2022-06-23 11:04:10,880 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:04:11,382 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655971450.880947, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41280)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:04:40,694 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:04:41,192 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655971480.6950872, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41282)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:13:15,483 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:13:15,989 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655971995.4843416, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41320)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
